sample	copynumber	more_than1	presence
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-193.fastq.sort.bam.Kuruka	0.275000570971794	778	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-194.fastq.sort.bam.Kuruka	0.40303756994404477	1050	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-195.fastq.sort.bam.Kuruka	0.37129564919492974	590	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-196.fastq.sort.bam.Kuruka	0.4621814548361311	806	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-197.fastq.sort.bam.Kuruka	0.18141783715884435	5	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-198.fastq.sort.bam.Kuruka	0.18084892086330936	19	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-199.fastq.sort.bam.Kuruka	0.19385565833047846	258	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-2.fastq.sort.bam.Kuruka	2.9227678428685624	7014	present
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-20.fastq.sort.bam.Kuruka	0.21794461573598264	326	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-200.fastq.sort.bam.Kuruka	0.26652951924174945	550	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-201.fastq.sort.bam.Kuruka	0.31997270754824714	1305	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-202.fastq.sort.bam.Kuruka	0.2114807582505424	370	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-203.fastq.sort.bam.Kuruka	0.2573879182368391	657	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-204.fastq.sort.bam.Kuruka	0.4328466369761334	1076	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-206.fastq.sort.bam.Kuruka	0.25081397738951694	418	absent
