SRR1663546,Kuruka,0.92,0.22
SRR1663547,Kuruka,5.03,0.13
SRR1663548,Kuruka,11.01,0.22
SRR1663549,Kuruka,1.89,0.20
SRR1663550,Kuruka,6.76,0.15
SRR1663551,Kuruka,5.55,0.13
SRR1663552,Kuruka,5.72,0.13
SRR1663553,Kuruka,5.98,0.15
SRR1663554,Kuruka,0.90,0.18
SRR1663555,Kuruka,4.43,0.11
SRR1663556,Kuruka,6.58,0.12
SRR1663557,Kuruka,7.39,0.23
SRR1663558,Kuruka,4.70,0.16
SRR1663559,Kuruka,4.53,0.12
SRR1663560,Kuruka,5.96,0.17
SRR1663561,Kuruka,7.42,0.16
SRR1663562,Kuruka,6.07,0.16
SRR1663563,Kuruka,7.01,0.13
SRR1663564,Kuruka,6.93,0.12
SRR1663565,Kuruka,7.94,0.15
SRR1663566,Kuruka,8.05,0.16
SRR1663567,Kuruka,8.03,0.19
SRR1663568,Kuruka,8.90,0.17
SRR1663569,Kuruka,6.25,0.16
SRR1663570,Kuruka,7.74,0.16
SRR1663571,Kuruka,8.25,0.15
SRR1663572,Kuruka,4.70,0.13
SRR1663573,Kuruka,8.91,0.14
SRR1663574,Kuruka,8.29,0.14
SRR1663575,Kuruka,9.58,0.15
SRR1663576,Kuruka,10.45,0.18
SRR1663577,Kuruka,7.88,0.12
SRR1663578,Kuruka,5.77,0.13
SRR1663579,Kuruka,7.42,0.14
SRR1663580,Kuruka,7.07,0.14
SRR1663581,Kuruka,7.66,0.15
SRR1663582,Kuruka,9.10,0.18
SRR1663583,Kuruka,9.28,0.14
SRR1663584,Kuruka,8.56,0.16
SRR1663585,Kuruka,8.18,0.14
SRR1663586,Kuruka,10.77,0.20
SRR1663587,Kuruka,7.68,0.16
SRR1663588,Kuruka,8.29,0.13
SRR1663589,Kuruka,8.40,0.17
SRR1663590,Kuruka,6.62,0.13
SRR1663591,Kuruka,6.90,0.14
SRR1663592,Kuruka,7.75,0.16
SRR1663593,Kuruka,7.88,0.17
SRR1663594,Kuruka,8.31,0.17
SRR1663595,Kuruka,7.73,0.14
SRR1663596,Kuruka,8.40,0.14
SRR1663597,Kuruka,5.97,0.13
SRR1663598,Kuruka,9.40,0.16
SRR1663599,Kuruka,7.32,0.12
SRR1663600,Kuruka,2.25,0.09
SRR1663601,Kuruka,3.30,0.10
SRR1663602,Kuruka,3.35,0.13
SRR1663603,Kuruka,6.12,0.19
SRR1663604,Kuruka,5.87,0.17
SRR1663605,Kuruka,7.90,0.25
SRR1663606,Kuruka,3.22,0.10
SRR1663607,Kuruka,2.29,0.08
SRR1663608,Kuruka,5.20,0.14
SRR1663609,Kuruka,4.81,0.11
SRR1663610,Kuruka,4.35,0.11
SRR1663611,Kuruka,4.97,0.13
SRR1769729,Kuruka,1.10,0.08
SRR189038,Kuruka,7.01,3.06
SRR189040,Kuruka,0.97,0.26
SRR189041,Kuruka,2.75,0.25
SRR189044,Kuruka,1.08,0.06
SRR189045,Kuruka,1.41,0.14
SRR189046,Kuruka,1.67,0.11
SRR189047,Kuruka,1.36,0.12
SRR189048,Kuruka,2.43,0.16
SRR189049,Kuruka,2.04,0.08
SRR189050,Kuruka,2.37,0.18
SRR189053,Kuruka,2.99,0.40
SRR189056,Kuruka,1.94,0.14
SRR189058,Kuruka,1.50,0.11
SRR189059,Kuruka,1.34,0.09
SRR189073,Kuruka,194.27,0.39
SRR189075,Kuruka,5.50,0.22
SRR189076,Kuruka,8.32,1.02
SRR189077,Kuruka,2.67,0.24
SRR189078,Kuruka,1.32,0.10
SRR189082,Kuruka,1.97,0.12
SRR189083,Kuruka,2.32,0.14
SRR189084,Kuruka,3.48,0.15
SRR189088,Kuruka,2.25,0.28
SRR189089,Kuruka,3.50,0.43
SRR189090,Kuruka,0.80,0.07
SRR189091,Kuruka,0.96,0.11
SRR189092,Kuruka,6.25,0.91
SRR189093,Kuruka,1.44,0.17
SRR189094,Kuruka,2.06,0.27
SRR189095,Kuruka,4.56,0.65
SRR189096,Kuruka,1.01,0.13
SRR189100,Kuruka,1.94,0.14
SRR189101,Kuruka,2.44,0.14
SRR189102,Kuruka,3.20,0.32
SRR189104,Kuruka,1.83,0.14
SRR189105,Kuruka,2.98,0.28
SRR189106,Kuruka,1.81,0.12
SRR189107,Kuruka,1.58,0.14
SRR189109,Kuruka,2.17,0.09
SRR189115,Kuruka,4.69,0.10
SRR189117,Kuruka,2.76,0.11
SRR189118,Kuruka,6.47,0.08
SRR189120,Kuruka,1.57,0.11
SRR189121,Kuruka,1.89,0.14
SRR189122,Kuruka,3.75,0.25
SRR189239,Kuruka,2.36,0.14
SRR189242,Kuruka,1.96,0.13
SRR189243,Kuruka,1.89,0.15
SRR189245,Kuruka,2.84,0.22
SRR189246,Kuruka,2.92,0.09
SRR189248,Kuruka,1.30,0.09
SRR189249,Kuruka,179.93,0.26
SRR189250,Kuruka,4.84,0.05
SRR189251,Kuruka,3.46,0.13
SRR189252,Kuruka,5.34,0.09
SRR189254,Kuruka,2.62,0.15
SRR189255,Kuruka,1.94,0.16
SRR189256,Kuruka,3.63,0.43
SRR189257,Kuruka,1.84,0.08
SRR189259,Kuruka,3.33,0.08
SRR189260,Kuruka,1.88,0.12
SRR189261,Kuruka,2.00,0.15
SRR189262,Kuruka,2.00,0.22
SRR189263,Kuruka,3.06,0.21
SRR189264,Kuruka,2.85,0.09
SRR189265,Kuruka,1.84,0.13
SRR189266,Kuruka,2.57,0.17
SRR189267,Kuruka,1.62,0.18
SRR189268,Kuruka,2.87,0.17
SRR189269,Kuruka,1.48,0.17
SRR189270,Kuruka,3.93,0.41
SRR189272,Kuruka,1.52,0.11
SRR189273,Kuruka,3.09,0.17
SRR189274,Kuruka,2.15,0.13
SRR189277,Kuruka,2.30,0.34
SRR189279,Kuruka,2.53,0.33
SRR189281,Kuruka,0.78,0.06
SRR189283,Kuruka,1.38,0.11
SRR189374,Kuruka,2.66,0.14
SRR189375,Kuruka,2.22,0.12
SRR189377,Kuruka,2.30,0.20
SRR189378,Kuruka,1.72,0.17
SRR189380,Kuruka,1.93,0.12
SRR189381,Kuruka,2.95,0.13
SRR189382,Kuruka,1.85,0.25
SRR189383,Kuruka,2.20,0.14
SRR189385,Kuruka,1.85,0.14
SRR189386,Kuruka,1.66,0.14
SRR189387,Kuruka,2.36,0.15
SRR189388,Kuruka,1.54,0.14
SRR189389,Kuruka,8.38,0.51
SRR189390,Kuruka,2.99,0.20
SRR189391,Kuruka,2.52,0.21
SRR189392,Kuruka,1.54,0.14
SRR189393,Kuruka,3.13,0.29
SRR189395,Kuruka,1.81,0.21
SRR189398,Kuruka,2.07,0.16
SRR189400,Kuruka,2.01,0.14
SRR189407,Kuruka,1.55,0.09
SRR189408,Kuruka,2.44,0.12
SRR189409,Kuruka,2.00,0.11
SRR189411,Kuruka,2.28,0.10
SRR189412,Kuruka,2.65,0.24
SRR189414,Kuruka,2.69,0.26
SRR189415,Kuruka,3.06,0.31
SRR189416,Kuruka,2.18,0.15
SRR189420,Kuruka,3.69,0.13
SRR189421,Kuruka,2.55,0.11
SRR189422,Kuruka,4.68,0.22
SRR189423,Kuruka,1.06,0.08
SRR189424,Kuruka,1.10,0.07
SRR189425,Kuruka,1.37,0.16
SRR189426,Kuruka,1.97,0.24
SRR218317,Kuruka,1.71,0.12
SRR23103753,Kuruka,6.60,0.32
SRR23103754,Kuruka,6.72,0.31
SRR23103755,Kuruka,32.71,27.81
SRR23103756,Kuruka,4.99,0.27
SRR23103757,Kuruka,40.05,31.56
SRR23103759,Kuruka,9.87,0.35
SRR23103760,Kuruka,13.58,7.58
SRR23103761,Kuruka,5.65,0.30
SRR23103762,Kuruka,6.01,0.26
SRR23103763,Kuruka,27.31,19.47
SRR23103764,Kuruka,40.15,29.31
SRR23103766,Kuruka,9.22,0.28
SRR23103767,Kuruka,42.52,30.29
SRR23103768,Kuruka,6.42,0.28
SRR23103769,Kuruka,41.20,29.84
SRR23103770,Kuruka,6.26,0.35
SRR23103771,Kuruka,7.23,0.31
SRR23103772,Kuruka,5.68,0.31
SRR23103773,Kuruka,1.23,0.22
SRR23103774,Kuruka,6.28,0.30
SRR23103775,Kuruka,5.70,0.35
SRR23103777,Kuruka,6.37,0.31
SRR23103778,Kuruka,6.32,0.31
SRR23103779,Kuruka,8.42,1.55
SRR23103780,Kuruka,7.23,0.30
SRR23103781,Kuruka,7.48,0.33
SRR23103782,Kuruka,1.36,0.27
SRR23103783,Kuruka,58.04,47.10
SRR23103784,Kuruka,7.24,0.28
SRR23103785,Kuruka,6.24,0.32
SRR23103786,Kuruka,8.35,0.37
SRR23103787,Kuruka,18.17,8.78
SRR23103788,Kuruka,15.39,12.17
SRR23103789,Kuruka,31.26,20.64
SRR23103790,Kuruka,25.97,17.42
SRR23103791,Kuruka,18.20,8.85
SRR23103793,Kuruka,7.70,0.31
SRR23103794,Kuruka,5.69,0.30
SRR23103795,Kuruka,7.12,1.18
SRR23103796,Kuruka,5.16,0.24
SRR23103797,Kuruka,1.76,0.44
SRR23103798,Kuruka,6.67,0.45
SRR23103799,Kuruka,7.47,0.36
SRR23103800,Kuruka,5.87,0.29
SRR23103801,Kuruka,7.58,0.31
SRR23103802,Kuruka,1.49,0.28
SRR23103803,Kuruka,6.36,0.36
SRR23103806,Kuruka,5.99,0.32
SRR23103807,Kuruka,7.76,0.30
SRR23103808,Kuruka,26.76,17.88
SRR23103809,Kuruka,6.22,0.27
SRR23103810,Kuruka,6.14,0.27
SRR23103811,Kuruka,5.72,0.32
SRR23103812,Kuruka,5.47,0.30
SRR23103813,Kuruka,1.23,0.27
SRR23103814,Kuruka,6.22,0.31
SRR23103815,Kuruka,5.01,0.27
SRR23103816,Kuruka,7.06,0.25
SRR23103817,Kuruka,6.75,0.28
SRR23103818,Kuruka,34.96,29.23
SRR23103819,Kuruka,13.08,4.18
SRR23103820,Kuruka,5.98,0.30
SRR23103821,Kuruka,6.72,0.34
SRR23103822,Kuruka,38.76,29.67
SRR23103824,Kuruka,9.05,0.41
SRR23103825,Kuruka,5.40,0.40
SRR23103826,Kuruka,6.06,0.62
SRR23103827,Kuruka,42.91,30.49
SRR23103829,Kuruka,8.73,0.41
SRR23103830,Kuruka,8.79,2.36
SRR23103833,Kuruka,7.23,1.23
SRR23103834,Kuruka,6.12,0.29
SRR23103835,Kuruka,6.57,0.32
SRR23103836,Kuruka,7.63,0.67
SRR23103837,Kuruka,41.08,29.55
SRR23103839,Kuruka,7.54,0.31
SRR23103840,Kuruka,1.51,0.31
SRR23103841,Kuruka,8.13,0.30
SRR23103842,Kuruka,16.92,9.70
SRR23103843,Kuruka,29.21,20.95
SRR23103844,Kuruka,52.96,41.51
SRR23103845,Kuruka,6.27,0.35
SRR23103847,Kuruka,7.12,0.32
SRR23103848,Kuruka,7.73,0.32
SRR23103849,Kuruka,24.70,16.52
SRR23103851,Kuruka,16.13,9.76
SRR23103852,Kuruka,36.13,25.89
SRR23103853,Kuruka,28.25,20.60
SRR23103854,Kuruka,16.23,11.72
SRR23103855,Kuruka,16.74,13.73
SRR23103857,Kuruka,24.69,16.09
SRR23103858,Kuruka,20.15,12.70
SRR23103859,Kuruka,26.33,18.92
SRR23103860,Kuruka,6.17,1.15
SRR23103861,Kuruka,32.11,21.50
SRR23103862,Kuruka,4.95,0.32
SRR23103863,Kuruka,1.69,0.30
SRR23103866,Kuruka,6.35,0.38
SRR23103867,Kuruka,5.14,0.34
SRR23103868,Kuruka,4.51,0.30
SRR23103869,Kuruka,5.37,0.22
SRR23103870,Kuruka,5.09,0.32
SRR23103871,Kuruka,5.91,0.30
SRR23103872,Kuruka,7.49,0.53
SRR23103873,Kuruka,1.88,0.32
SRR23103874,Kuruka,9.22,0.31
SRR23103875,Kuruka,5.38,0.36
SRR23103876,Kuruka,9.82,0.37
SRR23103877,Kuruka,1.87,0.33
SRR23103878,Kuruka,9.64,0.33
SRR23103880,Kuruka,13.17,6.48
SRR23103881,Kuruka,7.24,1.13
SRR23103882,Kuruka,4.76,0.26
SRR23103883,Kuruka,7.45,0.33
SRR23103884,Kuruka,6.68,0.69
SRR23103885,Kuruka,4.86,0.25
SRR23103886,Kuruka,6.31,0.25
SRR23103887,Kuruka,32.71,23.46
SRR23103888,Kuruka,1.75,0.31
SRR23103889,Kuruka,6.87,0.29
SRR23103890,Kuruka,7.78,1.36
SRR23103892,Kuruka,5.80,0.29
SRR23103893,Kuruka,6.69,0.28
SRR23103894,Kuruka,6.43,0.34
SRR23103895,Kuruka,7.21,0.31
SRR23103896,Kuruka,5.81,0.31
SRR23103898,Kuruka,5.99,0.27
SRR23103899,Kuruka,7.55,0.37
SRR23103900,Kuruka,6.93,0.32
SRR23103901,Kuruka,1.58,0.29
SRR23103902,Kuruka,14.53,11.84
SRR23103904,Kuruka,64.64,51.21
SRR23103905,Kuruka,52.50,42.30
SRR23103906,Kuruka,57.38,46.71
SRR23103907,Kuruka,15.82,9.06
SRR23103909,Kuruka,22.63,12.75
SRR23103910,Kuruka,50.76,43.51
SRR23103912,Kuruka,6.44,0.26
SRR23103913,Kuruka,9.02,0.34
SRR23103914,Kuruka,5.03,0.30
SRR23103915,Kuruka,5.95,0.38
SRR23103916,Kuruka,6.15,0.33
SRR23103917,Kuruka,12.66,4.27
SRR23103918,Kuruka,1.86,0.35
SRR23103920,Kuruka,61.66,49.68
SRR23103921,Kuruka,7.67,0.31
SRR23103922,Kuruka,5.22,0.30
SRR23103923,Kuruka,2.66,1.28
SRR23103924,Kuruka,6.48,0.32
SRR23103925,Kuruka,8.45,0.34
SRR23103927,Kuruka,7.31,0.36
SRR23103928,Kuruka,5.27,0.31
SRR23103929,Kuruka,7.24,0.34
SRR23103930,Kuruka,8.05,0.32
SRR23103931,Kuruka,5.53,0.26
SRR23103932,Kuruka,5.29,0.19
SRR23103933,Kuruka,7.88,0.32
SRR23103934,Kuruka,1.56,0.38
SRR23103935,Kuruka,1.58,0.20
SRR23103936,Kuruka,21.61,13.54
SRR23103937,Kuruka,58.95,45.22
SRR23103938,Kuruka,7.78,0.32
SRR23103939,Kuruka,9.94,2.98
SRR23103940,Kuruka,8.72,1.72
SRR23103941,Kuruka,36.79,25.44
SRR23103942,Kuruka,46.24,36.49
SRR23103943,Kuruka,1.73,0.33
SRR23103944,Kuruka,8.19,0.41
SRR23103945,Kuruka,5.15,0.27
SRR23103946,Kuruka,7.46,0.31
SRR23103947,Kuruka,7.41,0.29
SRR23103948,Kuruka,14.13,7.31
SRR23103949,Kuruka,1.25,0.28
SRR23103950,Kuruka,6.70,0.33
SRR23103951,Kuruka,6.23,0.28
SRR23103952,Kuruka,5.70,0.35
SRR23103954,Kuruka,6.55,0.32
SRR23103955,Kuruka,6.49,0.35
SRR23103956,Kuruka,6.59,0.29
SRR23103957,Kuruka,5.98,0.31
SRR23103958,Kuruka,1.35,0.28
SRR23103960,Kuruka,8.01,0.29
SRR23103961,Kuruka,6.44,0.26
SRR23103962,Kuruka,5.77,0.29
SRR23103963,Kuruka,6.05,0.26
SRR23103965,Kuruka,5.13,0.28
SRR23103966,Kuruka,6.61,0.31
SRR23103967,Kuruka,8.19,0.31
SRR23103968,Kuruka,16.36,13.34
SRR23103969,Kuruka,6.05,0.33
SRR23103970,Kuruka,6.40,0.75
SRR23103973,Kuruka,5.72,0.29
SRR23103974,Kuruka,6.24,0.30
SRR23103975,Kuruka,7.73,0.33
SRR23103976,Kuruka,1.47,0.27
SRR23103977,Kuruka,7.10,0.31
SRR23103978,Kuruka,5.09,0.33
SRR23103979,Kuruka,21.67,12.64
SRR23103980,Kuruka,10.33,7.81
SRR23103981,Kuruka,67.96,55.11
SRR23103983,Kuruka,6.69,0.33
SRR23103984,Kuruka,51.92,34.08
SRR23103985,Kuruka,7.42,0.33
SRR23103986,Kuruka,24.96,19.08
SRR23103987,Kuruka,25.70,19.12
SRR23103988,Kuruka,5.25,0.29
SRR23103989,Kuruka,29.78,20.56
SRR23103990,Kuruka,30.90,22.47
SRR23103991,Kuruka,18.94,13.42
SRR23103992,Kuruka,19.55,12.36
SRR23103993,Kuruka,27.25,18.69
SRR23103994,Kuruka,21.46,17.90
SRR23103995,Kuruka,27.32,18.43
SRR23103996,Kuruka,24.57,16.58
SRR23103997,Kuruka,25.91,20.08
SRR23103998,Kuruka,22.60,16.02
SRR23103999,Kuruka,7.01,0.30
SRR23104001,Kuruka,38.72,28.94
