name	genus	species	subspecies	species_group	species_subgroup	group	group2	realm1	realm2	region		notes
D.rufa	Drosophila	rufa		melanogaster	montium	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.saltans	Drosophila	saltans		saltans	saltans	saltans	saltans	Neotropic	Neotropic	Neotropic		
D.sechellia	Drosophila	sechellia		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Afrotropic	Afrotropic		Seychelles
D.seclusa	Drosophila	seclusa				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.serrata	Drosophila	serrata		melanogaster	montium	melanogaster	melanogaster	Australasian	Australasian	EastAsia-Oceania		
D.setosimentum	Drosophila	setosimentum				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.siamana	Drosophila	siamana		immigrans	hypocausta	immigrans-tripunctata	immigrans-tripunctata	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.silvestris	Drosophila	silvestris		planitibia	planitibia	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.simulans.006	Drosophila	simulans		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Cosmopolitan	Afrotropic		
D.simulans.sz129	Drosophila	simulans		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Cosmopolitan	Afrotropic		
D.simulans.sz232	Drosophila	simulans		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Cosmopolitan	Afrotropic		
D.sordidapex	Drosophila	sordidapex				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.sordidula	Drosophila	sordidula		robusta	robusta	virilis-repleta	virilis-repleta	Palearctic	Palearctic	EastAsia-Oceania		Japan
D.sp.14030-0761.01	Drosophila	sp.14030-0761.01		willistoni	willistoni	willistoni	willistoni	Neotropic	Neotropic	Neotropic		
D.sp.st01m	Drosophila	sp.st01m				immigrans-tripunctata	immigrans-tripunctata					
D.sproati	Drosophila	sproati		grimshawi	orphnopeza	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.stalkeri	Drosophila	stalkeri		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		
D.sturtevanti	Drosophila	sturtevanti		saltans	sturtevanti	saltans	saltans	Neotropic	Neotropic	Neotropic		
D.subobscura	Drosophila	subobscura		obscura	obscura	obscura	obscura	Palearctic	Cosmopolitan	Palearctic		
D.suboccidentalis	Drosophila	suboccidentalis		quinaria		immigrans-tripunctata	immigrans-tripunctata	Nearctic	Nearctic	Nearctic		
D.subpulchrella	Drosophila	subpulchrella		melanogaster	suzukii	suzukii	suzukii	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		Japan/China
D.subquinaria	Drosophila	subquinaria		quinaria		immigrans-tripunctata	immigrans-tripunctata	Nearctic	Nearctic	Nearctic		
D.subsilvestris	Drosophila	subsilvestris		obscura	obscura	obscura	obscura	Palearctic	Palearctic	Palearctic		
D.sucinea	Drosophila	sucinea		willistoni	bocainensis	willistoni	willistoni	Neotropic	Neotropic	Neotropic		
D.suzukii	Drosophila	suzukii		suzukii	suzukii	suzukii	suzukii	Indo-Malayan	Cosmopolitan	EastAsia-Oceania		ADDED-16/04/24
D.takahashii	Drosophila	takahashii		melanogaster	takahashii	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.tanythrix	Drosophila	tanythrix		antopocerus	diamphidiopoda	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.teissieri.273.3	Drosophila	teissieri		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Afrotropic	Afrotropic		
D.teissieri.CT02	Drosophila	teissieri		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Afrotropic	Afrotropic		
D.testacea	Drosophila	testacea		testacea		immigrans-tripunctata	immigrans-tripunctata	Palearctic	Palearctic	Palearctic		holarctic
D.triauraria	Drosophila	triauraria		melanogaster	montium	melanogaster	melanogaster	Indo-Malayan	Palearctic	EastAsia-Oceania		Japan
D.trichaetosa	Drosophila	trichaetosa				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.tripunctata	Drosophila	tripunctata		tripunctata	tripunctata subgroup IV	immigrans-tripunctata	immigrans-tripunctata	Nearctic	Nearctic	Nearctic		
D.tristis	Drosophila	tristis		obscura	obscura	obscura	obscura	Palearctic	Palearctic	Palearctic		
D.tropicalis	Drosophila	tropicalis		willistoni	willistoni	willistoni	willistoni	Neotropic	Neotropic	Neotropic		
D.ussurica	Diastata	ussurica				other drosophilids	other drosophilids	Palearctic	Palearctic	Palearctic		
D.ustulata	Drosophila	ustulata		immigrans	immigrans	immigrans-tripunctata	immigrans-tripunctata	Palearctic	Palearctic	Palearctic		
D.vallismaia	Drosophila	vallismaia		melanogaster	ananassae	melanogaster	melanogaster	Afrotropic	Afrotropic	Afrotropic		Seychelles
D.varians	Drosophila	varians		melanogaster	ananassae	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
D.villosipedis	Drosophila	villosipedis		grimshawi	orphnopeza	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
D.virilis	Drosophila	virilis		virilis	virilis	virilis-repleta	virilis-repleta	Nearctic	Nearctic	Nearctic		
D.willistoni.00	Drosophila	willistoni		willistoni	willistoni	willistoni	willistoni	Neotropic	Neotropic	Neotropic		
D.willistoni.17	Drosophila	willistoni		willistoni	willistoni	willistoni	willistoni	Neotropic	Neotropic	Neotropic		
D.yakuba	Drosophila	yakuba		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Afrotropic	Afrotropic		
D.yooni	Drosophila	yooni				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii		hawaiian
H.alboralis	Hirtodrosophila	alboralis		quadrivittata	trivittata	Hirtodrosophila	Hirtodrosophila	Indo-Malayan	Palearctic	EastAsia-Oceania		Japan
H.caputudis	Hirtodrosophila	caputudis		quadrivittata	quadrivittata	Hirtodrosophila	Hirtodrosophila	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
H.confusa	Hirtodrosophila	confusa		quadrivittata	confusa	Hirtodrosophila	Hirtodrosophila	Palearctic	Palearctic	Palearctic		
H.duncani	Hirtodrosophila	duncani				Hirtodrosophila	Hirtodrosophila	Nearctic	Nearctic	Nearctic		
