assembly	name	genus	species	subspecies	species_group	species_subgroup	group	group2	realm1	realm2	region	notes	source
RAL737	D.melanogaster.RAL737	Drosophila	melanogaster		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Cosmopolitan	Afrotropic		
TEN015	D.melanogaster.TEN015	Drosophila	melanogaster		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Cosmopolitan	Afrotropic		
TOM008	D.melanogaster.TOM008	Drosophila	melanogaster		melanogaster	melanogaster	melanogaster	Dmel subgroup	Afrotropic	Cosmopolitan	Afrotropic		
GCA_035042045.1	D.melanosoma.C174	Drosophila	melanosoma		haleakalae	scitula	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035042065.1	D.melanosoma.C177	Drosophila	melanosoma		haleakalae	scitula	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035045175.1	D.mercatorum	Drosophila	mercatorum		repleta	mercatorum	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035045185.1	D.meridiana	Drosophila	meridiana		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035045145.1	D.meridionalis	Drosophila	meridionalis		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035047645.1	D.merina	Drosophila	merina		melanogaster	ananassae	melanogaster	melanogaster	Afrotropic	Afrotropic	Afrotropic	Madagascar	GBIF
GCA_035047625.1	D.mettleri	Drosophila	mettleri		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_004143905.1	D.micromelanica	Drosophila	micromelanica						Nearctic	Nearctic	Nearctic		GBIF
GCA_037075245.1	D.mimetica	Drosophila	mimetica		melanogaster	suzukii	suzukii	suzukii	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_037043585.1	D.mimica	Drosophila	mimica			mimica	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035044445.1	D.miranda	Drosophila	miranda		obscura	pseudoobscura	obscura	obscura	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018153725.1	D.mojavensis	Drosophila	mojavensis		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035047585.1	D.monieri	Drosophila	monieri		melanogaster	ananassae	melanogaster	melanogaster	Pacific Islands	Pacific Islands	EastAsia-Oceania		GBIF
GCA_035044405.1	D.montana.CO22-7	Drosophila	montana		virilis	montana	virilis-repleta	virilis-repleta	Nearctic	Nearctic	Nearctic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035044425.1	D.montana.MK-O21	Drosophila	montana		virilis	montana	virilis-repleta	virilis-repleta	Nearctic	Nearctic	Nearctic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035047565.1	D.mulleri	Drosophila	mulleri		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_037043605.1	D.multiciliata	Drosophila	multiciliata		haleakalae	anthrax	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_018904325.1	D.murphyi	Drosophila	murphyi		grimshawi	orphnopeza	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_020883555.1	D.nannoptera	Drosophila	nannoptera						Nearctic	Nearctic	Nearctic		GBIF
GCF_023558535.2	D.nasuta	Drosophila	nasuta						Afrotropic	Afrotropic	Afrotropic		GBIF
GCF_001654015.2	D.navojoa	Drosophila	navojoa						Nearctic	Nearctic	Nearctic		GBIF
GCA_024703675.1	D.nebulosa	Drosophila	nebulosa						Neotropic	Neotropic	Neotropic		GBIF
GCA_018903615.1	D.neocordata	Drosophila	neocordata		saltans	cordata	saltans	saltans	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_037043555.1	D.neoperkinsi	Drosophila	neoperkinsi		planitibia	cyrtoloma	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035044365.1	D.neotestacea	Drosophila	neotestacea		testacea		immigrans-tripunctata	immigrans-tripunctata	Nearctic	Nearctic	Nearctic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035044385.1	D.neutralis	Drosophila	neutralis				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_037075265.1	D.nigricruria	Drosophila	nigricruria		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035044305.1	D.nigritarsus	Drosophila	nigritarsus				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_020829145.1	D.nigrodunni	Drosophila	nigrodunni						Neotropic	Neotropic	Neotropic		GBIF
GCA_037040065.1	D.nigrovittata	Dettopsomyia	nigrovittata				other drosophilids	other drosophilids	Australasian				
GCA_035046325.1	D.niveifrons	Drosophila	niveifrons		immigrans	nasuta	immigrans-tripunctata	immigrans-tripunctata	Australasian	Australasian	EastAsia-Oceania		GBIF
GCA_030788195.1	D.novomexicana	Drosophila	novamexicana						Nearctic	Nearctic	Nearctic		GBIF
GCA_035044245.1	D.nr.fundita	Drosophila	nr.fundita				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035044325.1	D.nr.medialis.C101	Drosophila	nr.medialis				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035044225.1	D.nr.medialis.DKP	Drosophila	nr.medialis				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035044105.1	D.nr.perissopoda.C167	Drosophila	nr.perissopoda				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035044165.1	D.nr.perissopoda.C186	Drosophila	nr.perissopoda				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_018151105.1	D.obscura	Drosophila	obscura		obscura	obscura	obscura	obscura	Palearctic	Palearctic	Palearctic		GBIF
GCA_035044125.1	D.ochracea.C070	Drosophila	ochracea		grimshawi	orphnopeza	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035044065.1	D.ochracea.DKP	Drosophila	ochracea		grimshawi	orphnopeza	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_005876975.1	D.orena	Drosophila	orena						Afrotropic	Afrotropic	Afrotropic		GBIF
