#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:kuruka-insertions" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:kuruka-insertions" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:kuruka-insertions" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.kuruka-insertions" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:kuruka-insertions" name="distribution" x="@birthRate.t:kuruka-insertions">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@kuruka-insertions" id="treeLikelihood.kuruka-insertions" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:kuruka-insertions">
#            <siteModel id="SiteModel.s:kuruka-insertions" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:kuruka-insertions" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:kuruka-insertions" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:kuruka-insertions" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:kuruka-insertions" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:kuruka-insertions" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:kuruka-insertions" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
15000	-83280.612337899	-83395.76309249541	115.1507545964138	-83395.76309249541	0.1740258945285929	1.1815106061705385	115.1507545964138	36.28731394224422
16000	-83213.90039532215	-83327.84171413048	113.94131880832548	-83327.84171413048	0.17559969745376452	1.184911357537406	113.94131880832548	46.05668737370815
17000	-83098.74203270297	-83214.44175686354	115.69972416057276	-83214.44175686354	0.1720754883225572	1.1671354853600298	115.69972416057276	38.22940321193837
18000	-83098.88240120467	-83214.08035204155	115.1979508368779	-83214.08035204155	0.17505405141012997	1.1732896943963886	115.1979508368779	41.84929879126465
19000	-83084.53139428512	-83199.34370456003	114.81231027490247	-83199.34370456003	0.176575992610154	1.1831115790087958	114.81231027490247	33.05809937750376
20000	-83083.61371832485	-83199.49394900666	115.88023068180723	-83199.49394900666	0.17364848118364976	1.162463450871605	115.88023068180723	37.988437861865414
21000	-83083.97505712534	-83198.07803015017	114.10297302483096	-83198.07803015017	0.1769191426623863	1.1771816618330042	114.10297302483096	29.240332365040192
22000	-83091.71342597171	-83205.8825260108	114.16910003908269	-83205.8825260108	0.18080798472920828	1.1880066355333192	114.16910003908269	30.592413201097003
23000	-83090.39288441147	-83204.82968900872	114.43680459725476	-83204.82968900872	0.18040647691462058	1.2005535375944936	114.43680459725476	35.42574953372476
24000	-83076.32969486146	-83191.3020859873	114.97239112585252	-83191.3020859873	0.176187293046665	1.1800065840315488	114.97239112585252	33.45985794705241
25000	-83071.03685333577	-83185.9019977684	114.86514443262311	-83185.9019977684	0.17678383329792635	1.186600156871036	114.86514443262311	39.779122505971436
26000	-83071.15519442908	-83186.54278477217	115.3875903430865	-83186.54278477217	0.17342815213979584	1.175386234728474	115.3875903430865	38.08135751088057
27000	-83073.3685050438	-83188.74321618819	115.37471114437582	-83188.74321618819	0.17585888072273154	1.1727955403111205	115.37471114437582	34.85331876559366
28000	-83063.99102054306	-83179.3363459477	115.34532540462956	-83179.3363459477	0.17491988574873896	1.1766199324974096	115.34532540462956	36.99015910357762
29000	-83073.13599155037	-83188.19822312653	115.06223157615302	-83188.19822312653	0.17656760718357806	1.176848187758953	115.06223157615302	33.3470302114433
30000	-83073.06432933407	-83188.65786495556	115.59353562148674	-83188.65786495556	0.1788579813802948	1.1697844208343564	115.59353562148674	38.45141462049608
31000	-83071.04557744069	-83186.00358094134	114.95800350064553	-83186.00358094134	0.1771327427810516	1.1795777136009769	114.95800350064553	33.25384761582921
32000	-83082.87700863543	-83197.43061468247	114.55360604703193	-83197.43061468247	0.17234561536495582	1.1764980129288338	114.55360604703193	44.9855608842584
33000	-83074.18365942995	-83189.56031144175	115.37665201179298	-83189.56031144175	0.1737525469523282	1.1700737766609903	115.37665201179298	41.461561300653045
34000	-83067.5504812314	-83182.73902646989	115.18854523849518	-83182.73902646989	0.17822022942758436	1.1766224291117435	115.18854523849518	40.66801774781166
35000	-83070.46318965047	-83186.3102000033	115.8470103528268	-83186.3102000033	0.17056758706503763	1.15094408745058	115.8470103528268	32.901469261159676
36000	-83077.85022858928	-83193.67964876452	115.82942017523811	-83193.67964876452	0.17108878484650256	1.163809987240223	115.82942017523811	37.9100340170035
37000	-83067.3169636681	-83182.92324798022	115.60628431211084	-83182.92324798022	0.17574279840038726	1.1681290571787546	115.60628431211084	39.67383365236248
38000	-83070.82733150599	-83186.04159157592	115.21426006992296	-83186.04159157592	0.16948064920456962	1.1606739902070005	115.21426006992296	31.39948495454165
39000	-83071.53681552107	-83185.85328872845	114.31647320738445	-83185.85328872845	0.1755423731014615	1.1998400124995672	114.31647320738445	40.00622736775766
40000	-83074.83560483353	-83189.52700046699	114.69139563346575	-83189.52700046699	0.17381812639275335	1.177864992880603	114.69139563346575	31.47581238788178
41000	-83073.01150111794	-83186.84629430767	113.83479318972908	-83186.84629430767	0.176995697706151	1.1863614481897145	113.83479318972908	46.227400933890465
42000	-83073.34301739144	-83188.51110892564	115.16809153419936	-83188.51110892564	0.17285325490899783	1.1768830184506516	115.16809153419936	34.196012693145036
